Segunda-feira,Escolaridade,Quantidade
2023-01-09,0,33.57142857142857
2023-01-09,1,66.14285714285714
2023-01-09,2,32.285714285714285
2023-01-09,3,35.57142857142857
2023-01-09,4,14.857142857142858
2023-01-16,0,28.428571428571427
2023-01-16,1,59.57142857142857
2023-01-16,2,23.571428571428573
2023-01-16,3,30.428571428571427
2023-01-16,4,11.571428571428571
2023-01-23,0,28.857142857142858
2023-01-23,1,49.714285714285715
2023-01-23,2,22.428571428571427
2023-01-23,3,26.285714285714285
2023-01-23,4,11.428571428571429
2023-01-30,0,31.857142857142858
2023-01-30,1,49.142857142857146
2023-01-30,2,24.857142857142858
2023-01-30,3,22.428571428571427
2023-01-30,4,12.428571428571429
2023-02-06,0,47.857142857142854
2023-02-06,1,58.42857142857143
2023-02-06,2,21.285714285714285
2023-02-06,3,25.142857142857142
2023-02-06,4,9.0
2023-02-13,0,59.285714285714285
2023-02-13,1,68.85714285714286
2023-02-13,2,24.285714285714285
2023-02-13,3,26.571428571428573
2023-02-13,4,13.714285714285714
2023-02-20,0,51.285714285714285
2023-02-20,1,70.0
2023-02-20,2,25.142857142857142
2023-02-20,3,29.857142857142858
2023-02-20,4,14.142857142857142
2023-02-27,0,54.0
2023-02-27,1,70.14285714285714
2023-02-27,2,26.714285714285715
2023-02-27,3,32.857142857142854
2023-02-27,4,15.714285714285714
2023-03-06,0,51.857142857142854
2023-03-06,1,67.28571428571429
2023-03-06,2,27.571428571428573
2023-03-06,3,28.571428571428573
2023-03-06,4,14.285714285714286
2023-03-13,0,57.42857142857143
2023-03-13,1,61.285714285714285
2023-03-13,2,21.142857142857142
2023-03-13,3,28.285714285714285
2023-03-13,4,13.0
2023-03-20,0,61.0
2023-03-20,1,54.42857142857143
2023-03-20,2,25.857142857142858
2023-03-20,3,26.714285714285715
2023-03-20,4,11.857142857142858
2023-03-27,0,69.8
2023-03-27,1,55.6
2023-03-27,2,27.2
2023-03-27,3,28.2
2023-03-27,4,8.6
